cve_ent,cve_diario,cve_fechaedo,identif,ano,Entidad,Periódico,Fecha,Titular,Tema,Actor1,Actor2,Estatal,Voz,Sentido,Destinatario de la crítica,Contenido,Víctima 7
1,1,1,1011,2011,Aguascalientes,El Heraldo,11/04/11,Anarquía en parroquias. La música profana desplaza a la sacra.,0,0,,9999,9999,9999,9999,9999,9999
1,1,2,1012,2011,Aguascalientes,El Heraldo,25/10/11,Aquí no hay tortura. Lucino y Benjamín Andrade declararon lo que quisieron.,1,7,1,1,1,0,9999,9999,9999
1,1,3,1013,2011,Aguascalientes,El Heraldo,13/04/11,Apoyan holandeses parque agroindustrial,2,4,,1,1,0,9999,9999,9999
1,1,4,1014,2011,Aguascalientes,El Heraldo,10/03/11,Rindió CLT su informe de 100 días de labores,2,1,,1,1,0,9999,9999,9999
1,1,5,1015,2011,Aguascalientes,El Heraldo,28/10/11,Impuesto a la plusvalía,2,2,,1,1,0,9999,9999,9999
1,1,6,1016,2011,Aguascalientes,El Heraldo,03/09/11,Asume CLT el llamado a generar tranquilidad,2,1,,1,1,0,9999,9999,9999
1,1,7,1017,2011,Aguascalientes,El Heraldo,06/11/11,Repudia IP la embestida de Hacienda,2,4,,1,2,3,9999,9999,9999
1,1,8,1018,2012,Aguascalientes,El Heraldo,04/06/12,"Congelar precios, subir salarios y bajar la luz, ofrece EPN",2,3,,0,9999,9999,9999,9999,9999
1,1,9,1019,2012,Aguascalientes,El Heraldo,14/02/12,"""Llueve"" la ayuda. Destinan 72 mdp para 32 mil familias afectadas por la sequía",2,2,,1,0,0,9999,9999,9999
1,1,10,10110,2012,Aguascalientes,El Heraldo,08/02/12,Multas de tránsito tendrán descuento,2,2,,0,9999,9999,9999,9999,9999
1,1,11,10111,2012,Aguascalientes,El Heraldo,15/03/12,Operativo policiacos en hoteles y moteles,1,7,,0,9999,9999,9999,9999,9999
1,1,12,10112,2012,Aguascalientes,El Heraldo,27/07/12,Explosión en Casa Terán,0,2,,9999,9999,9999,9999,9999,9999
1,1,13,10113,2012,Aguascalientes,El Heraldo,16/06/12,Detectan mercado negro de fichas para pagar placas,2,3,,0,9999,9999,9999,9999,9999
1,1,14,10114,2012,Aguascalientes,El Heraldo,10/06/12,Rechazan rendir cuentas. Dependencias y diputados ocultan gastos y datos públicos,2,2,,1,0,4,0,2,9999
1,1,15,10115,2013,Aguascalientes,El Heraldo,10/06/13,Auditan a cuerpos policiacos. Verifican la aplicación correcta de recursos.,2,7,,1,1,0,9999,9999,9999
